================ M=9 seed=1  P=2 3 4 5 6 ================
Loaded master B_full from /home/user/al-rnn-exp/results_seedrun_v2/shared_B_full_dim20_seed42.npy
Shared B (sliced from B_full): shape=(3, 9)  frozen=True  ||B||_F=1.634

================  P = 2  ================
[P=2/orig] epoch    0/1000  loss=0.924336  elapsed=0.4s
[P=2/orig] epoch  100/1000  loss=0.037781  elapsed=37.0s
[P=2/orig] epoch  200/1000  loss=0.033696  elapsed=73.2s
[P=2/orig] epoch  300/1000  loss=0.032056  elapsed=109.4s
[P=2/orig] epoch  400/1000  loss=0.030779  elapsed=145.1s
[P=2/orig] epoch  500/1000  loss=0.030508  elapsed=180.6s
[P=2/orig] epoch  600/1000  loss=0.029603  elapsed=216.7s
[P=2/orig] epoch  700/1000  loss=0.030126  elapsed=252.8s
[P=2/orig] epoch  800/1000  loss=0.029917  elapsed=287.3s
[P=2/orig] epoch  900/1000  loss=0.030022  elapsed=321.0s
[P=2/orig] epoch  999/1000  loss=0.029027  elapsed=354.5s
[P=2/ortho] epoch    0/1000  loss=0.952404  elapsed=0.5s
[P=2/ortho] epoch  100/1000  loss=0.034767  elapsed=39.7s
[P=2/ortho] epoch  200/1000  loss=0.032957  elapsed=79.0s
[P=2/ortho] epoch  300/1000  loss=0.030991  elapsed=117.9s
[P=2/ortho] epoch  400/1000  loss=0.029730  elapsed=157.6s
[P=2/ortho] epoch  500/1000  loss=0.028699  elapsed=195.5s
[P=2/ortho] epoch  600/1000  loss=0.029822  elapsed=233.9s
[P=2/ortho] epoch  700/1000  loss=0.029675  elapsed=273.5s
[P=2/ortho] epoch  800/1000  loss=0.028747  elapsed=312.4s
[P=2/ortho] epoch  900/1000  loss=0.029035  elapsed=351.2s
[P=2/ortho] epoch  999/1000  loss=0.028571  elapsed=389.6s

================  P = 3  ================
[P=3/orig] epoch    0/1000  loss=0.857236  elapsed=0.5s
